Frequent,Item,Set,count,
Ativan,Digoxin,Dopamine,2,
Ativan,Digoxin,Estrace,2,
Ativan,Dopamine,Estrace,2,
Ativan,Humulin,Hydrochloroquine,1,
Ativan,Humulin,Jublia,1,
Ativan,Humulin,Lexapro,1,
Ativan,Hydrochloroquine,Jublia,1,
Ativan,Hydrochloroquine,Lexapro,1,
Ativan,Jublia,Lexapro,1,
Digoxin,Dopamine,Estrace,2,
Digoxin,Humulin,Hydrochloroquine,1,
Digoxin,Humulin,Jublia,1,
Digoxin,Humulin,Lexapro,1,
Digoxin,Hydrochloroquine,Jublia,1,
Digoxin,Hydrochloroquine,Lexapro,1,
Digoxin,Jublia,Lexapro,1,
Dopamine,Humulin,Hydrochloroquine,1,
Dopamine,Humulin,Jublia,1,
Dopamine,Humulin,Lexapro,1,
Dopamine,Hydrochloroquine,Jublia,1,
Dopamine,Hydrochloroquine,Lexapro,1,
Dopamine,Jublia,Lexapro,1,
Estrace,Humulin,Hydrochloroquine,1,
Estrace,Humulin,Jublia,1,
Estrace,Humulin,Lexapro,1,
Estrace,Hydrochloroquine,Jublia,1,
Estrace,Hydrochloroquine,Lexapro,1,
Estrace,Jublia,Lexapro,1,
Humulin,Hydrochloroquine,Jublia,2,
Humulin,Hydrochloroquine,Lexapro,2,
Humulin,Jublia,Lexapro,2,
Hydrochloroquine,Jublia,Lexapro,2,
